QTLs	line	QTL	Pro	location	year
QTLs-3	105	Pro3.1-6.1-11.1	26.6	Arusha	2017
QTLs-1	106	Pro6.1	24.7	Arusha	2017
QTLs-2	107	Pro6.1-11.1	23.7	Arusha	2017
QTLs-1	108	Pro3.1	24.4	Arusha	2017
QTLs-2	110	Pro6.1-11.1	26.5	Arusha	2017
QTLs-1	113	Pro3.1	24.6	Arusha	2017
QTLs-1	114	Pro6.1	25.0	Arusha	2017
QTLs-3	117	Pro3.1-6.1-11.1	26.5	Arusha	2017
QTLs-2	118	Pro6.1-11.1	24.9	Arusha	2017
QTLs-1	120	Pro6.1	24.7	Arusha	2017
QTLs-1	121	Pro6.1	26.0	Arusha	2017
QTLs-1	122	Pro6.1	25.4	Arusha	2017
QTLs-1	123	Pro6.1	24.8	Arusha	2017
QTLs-1	124	Pro11.1	23.5	Arusha	2017
QTLs-3	126	Pro3.1-6.1-11.1	23.2	Arusha	2017
QTLs-2	128	Pro3.1-11.1	30.8	Arusha	2017
QTLs-1	129	Pro3.1	23.6	Arusha	2017
QTLs-2	130	Pro6.1-11.1	25.9	Arusha	2017
QTLs-3	131	Pro3.1-6.1-11.1	25.6	Arusha	2017
QTLs-3	133	Pro3.1-6.1-11.1	25.9	Arusha	2017
QTLs-1	134	Pro6.1	24.2	Arusha	2017
QTLs-1	136	Pro3.1	23.6	Arusha	2017
QTLs-1	140	Pro6.1	22.8	Arusha	2017
QTLs-2	157	Pro6.1-11.1	26.1	Arusha	2017
QTLs-1	159	Pro6.1	23.3	Arusha	2017
QTLs-2	161	Pro3.1-6.1	25.2	Arusha	2017
QTLs-1	162	Pro11.1	25.8	Arusha	2017
QTLs-1	163	Pro3.1	21.8	Arusha	2017
QTLs-1	2	Pro6.1	23.3	Morogoro	2017
QTLs-3	5	Pro3.1-6.1-11.1	26.5	Morogoro	2017
QTLs-2	7	Pro3.1-11.1	20.7	Morogoro	2017
QTLs-1	8	Pro6.1	22.1	Morogoro	2017
QTLs-1	9	Pro3.1	24.3	Morogoro	2017
QTLs-1	10	Pro3.1	23.0	Morogoro	2017
QTLs-1	11	Pro3.1	25.2	Morogoro	2017
QTLs-2	12	Pro3.1-11.1	23.3	Morogoro	2017
QTLs-2	15	Pro6.1-11.1	22.9	Morogoro	2017
QTLs-3	16	Pro3.1-6.1-11.1	23.7	Morogoro	2017
QTLs-3	17	Pro3.1-6.1-11.1	22.1	Morogoro	2017
QTLs-2	18	Pro3.1-6.1	23.9	Morogoro	2017
QTLs-1	19	Pro11.1	22.3	Morogoro	2017
QTLs-3	20	Pro3.1-6.1-11.1	22.1	Morogoro	2017
QTLs-3	22	Pro3.1-6.1-11.1	23.7	Morogoro	2017
QTLs-1	23	Pro6.1	24.3	Morogoro	2017
QTLs-3	25	Pro3.1-6.1-11.1	24.8	Morogoro	2017
QTLs-1	26	Pro6.1	21.8	Morogoro	2017
QTLs-1	27	Pro3.1	24.3	Morogoro	2017
QTLs-2	30	Pro6.1-11.1	22.5	Morogoro	2017
QTLs-2	31	Pro6.1-11.1	17.8	Morogoro	2017
QTLs-2	35	Pro6.1-11.1	22.2	Morogoro	2017
QTLs-3	37	Pro3.1-6.1-11.1	23.3	Morogoro	2017
QTLs-1	40	Pro3.1	23.8	Morogoro	2017
QTLs-1	46	Pro3.1	21.7	Morogoro	2017
QTLs-1	48	Pro6.1	21.1	Morogoro	2017
QTLs-1	49	Pro3.1	19.4	Morogoro	2017
QTLs-1	54	Pro11.1	23.4	Morogoro	2017
QTLs-3	56	Pro3.1-6.1-11.1	23.1	Morogoro	2017
QTLs-3	57	Pro3.1-6.1-11.1	24.8	Morogoro	2017
QTLs-1	59	Pro3.1	23.6	Morogoro	2017
QTLs-3	64	Pro3.1-6.1-11.1	24.5	Morogoro	2017
QTLs-3	65	Pro3.1-6.1-11.1	24.3	Morogoro	2017
QTLs-3	66	Pro3.1-6.1-11.1	24.6	Morogoro	2017
QTLs-3	69	Pro3.1-6.1-11.1	23.7	Morogoro	2017
QTLs-1	70	Pro6.1	21.0	Morogoro	2017
QTLs-1	72	Pro3.1	24.4	Morogoro	2017
QTLs-2	77	Pro6.1-11.1	25.9	Morogoro	2017
QTLs-1	78	Pro11.1	22.5	Morogoro	2017
QTLs-2	79	Pro6.1-11.1	24.0	Morogoro	2017
QTLs-2	80	Pro6.1-11.1	24.7	Morogoro	2017
QTLs-1	84	Pro3.1	21.5	Morogoro	2017
QTLs-1	85	Pro6.1	22.4	Morogoro	2017
QTLs-1	86	Pro3.1	23.0	Morogoro	2017
QTLs-1	88	Pro11.1	23.7	Morogoro	2017
QTLs-2	89	Pro6.1-11.1	26.6	Morogoro	2017
QTLs-2	91	Pro3.1-11.1	21.2	Morogoro	2017
QTLs-3	93	Pro3.1-6.1-11.1	24.7	Morogoro	2017
QTLs-3	95	Pro3.1-6.1-11.1	24.2	Morogoro	2017
QTLs-1	97	Pro6.1	23.6	Morogoro	2017
QTLs-1	100	Pro11.1	21.9	Morogoro	2017
QTLs-2	101	Pro6.1-11.1	24.7	Morogoro	2017
QTLs-1	102	Pro11.1	23.5	Morogoro	2017
QTLs-3	105	Pro3.1-6.1-11.1	25.2	Morogoro	2017
QTLs-1	106	Pro6.1	23.4	Morogoro	2017
QTLs-2	107	Pro6.1-11.1	23.8	Morogoro	2017
QTLs-1	108	Pro3.1	22.9	Morogoro	2017
QTLs-2	110	Pro6.1-11.1	24.8	Morogoro	2017
QTLs-1	113	Pro3.1	22.1	Morogoro	2017
QTLs-1	114	Pro6.1	23.6	Morogoro	2017
QTLs-3	117	Pro3.1-6.1-11.1	24.8	Morogoro	2017
QTLs-2	118	Pro6.1-11.1	23.4	Morogoro	2017
QTLs-1	120	Pro6.1	24.4	Morogoro	2017
QTLs-1	121	Pro6.1	23.7	Morogoro	2017
QTLs-1	122	Pro6.1	23.0	Morogoro	2017
QTLs-1	123	Pro6.1	24.2	Morogoro	2017
QTLs-1	124	Pro11.1	23.3	Morogoro	2017
QTLs-3	126	Pro3.1-6.1-11.1	22.6	Morogoro	2017
QTLs-2	128	Pro3.1-11.1	28.3	Morogoro	2017
QTLs-1	129	Pro3.1	23.6	Morogoro	2017
QTLs-2	130	Pro6.1-11.1	23.4	Morogoro	2017
QTLs-3	131	Pro3.1-6.1-11.1	23.9	Morogoro	2017
QTLs-3	133	Pro3.1-6.1-11.1	24.5	Morogoro	2017
QTLs-1	134	Pro6.1	22.8	Morogoro	2017
QTLs-1	136	Pro3.1	23.2	Morogoro	2017
QTLs-1	140	Pro6.1	21.8	Morogoro	2017
QTLs-2	157	Pro6.1-11.1	23.2	Morogoro	2017
QTLs-1	159	Pro6.1	20.9	Morogoro	2017
QTLs-2	161	Pro3.1-6.1	22.6	Morogoro	2017
QTLs-1	162	Pro11.1	25.8	Morogoro	2017
QTLs-1	163	Pro3.1	21.3	Morogoro	2017
